action,ticker,price,shares,date,trend_score,entry_price,quality,value,growth,partial,reason,return_pct,days_held,entry_trend_score
BUY,IGL.NS,216.8549346923828,46,2025-07-13,90,216.8549346923828,5.3,5,1.6,,,,,
BUY,SUZLON.NS,65.91999816894531,151,2025-07-13,90,65.91999816894531,6.6,6.9,10,,,,,
BUY,TATAINVEST.NS,660.5499877929688,15,2025-07-13,90,660.5499877929688,,4,5.4,,,,,
BUY,BANDHANBNK.NS,174.00045776367188,57,2025-07-13,90,174.00045776367188,,6.2,1.5,,,,,
BUY,TIMKEN.NS,3322.511474609375,3,2025-07-13,90,3322.511474609375,5.8,4.2,3.1,,,,,
BUY,MGL.NS,1466.28515625,6,2025-07-13,89,1466.28515625,5.3,5.8,2,,,,,
BUY,NESTLEIND.NS,1201.75,8,2025-07-13,89,1201.75,10,2.3,3.5,,,,,
BUY,SKFINDIA.NS,4858.39990234375,2,2025-07-13,89,4858.39990234375,7.1,6.1,5.1,,,,,
BUY,JKTYRE.NS,359.7134094238281,27,2025-07-13,89,359.7134094238281,4,8.8,7.1,,,,,
BUY,IFCI.NS,60.720001220703125,164,2025-07-13,88,60.720001220703125,3.9,7.6,9.9,,,,,
BUY,RITES.NS,271.9031982421875,36,2025-07-13,88,271.9031982421875,,,,,,,,
BUY,TATAPOWER.NS,396.8500061035156,25,2025-07-13,88,396.8500061035156,4.9,4.9,2.5,,,,,
BUY,NHPC.NS,87.52238464355469,114,2025-07-13,87,87.52238464355469,5.4,6,5,,,,,
BUY,LICHSGFIN.NS,594.1862182617188,16,2025-07-13,86,594.1862182617188,3.3,7.2,3.2,,,,,
BUY,CHENNPETRO.NS,714.0315551757812,14,2025-07-13,86,714.0315551757812,4.9,8.4,,,,,,
BUY,SCI.NS,212.5614013671875,47,2025-07-13,85,212.5614013671875,,,,,,,,
BUY,ITI.NS,315.5,31,2025-07-13,83,315.5,0.8,0,,,,,,
BUY,BIOCON.NS,374.20001220703125,26,2025-07-13,82,374.20001220703125,4.1,3.1,,,,,,
BUY,POLYCAB.NS,6705.5,1,2025-07-13,82,6705.5,5.5,6.4,9,,,,,
BUY,RAINBOW.NS,1527.199951171875,6,2025-07-13,81,1527.199951171875,9.8,4,3,,,,,
SELL,IGL.NS,199.6161651611328,46,2025-07-27,,,5.3,5,1.6,false,TREND_REVERSAL,-7.949447659885567,14,90
SELL,NESTLEIND.NS,1137.300048828125,8,2025-07-27,,,10,2.3,3.5,false,TREND_REVERSAL,-5.363008210682341,14,89
SELL,JKTYRE.NS,341.9705810546875,27,2025-07-27,,,4,8.8,7.1,false,TREND_REVERSAL,-4.932490116940658,14,89
BUY,KAJARIACER.NS,1159.1004638671875,8,2025-07-27,90,1159.1004638671875,6.4,7.1,5.1,,,,,
BUY,JPPOWER.NS,20.1200008392334,487,2025-07-27,90,20.1200008392334,7.4,5.4,3.1,,,,,
SELL,SUZLON.NS,63.189998626708984,151,2025-08-10,,,6.6,6.9,10,false,TIME_STAGNANT,-4.141382915757452,28,90
SELL,TIMKEN.NS,2869.10009765625,3,2025-08-10,,,5.8,4.2,3.1,false,TRAILING_STOP,-13.646645930889745,28,90
SELL,MGL.NS,1302.509521484375,6,2025-08-10,,,5.3,5.8,2,false,TRAILING_STOP,-11.169425951530364,28,89
SELL,IFCI.NS,53.029998779296875,164,2025-08-10,,,3.9,7.6,9.9,false,TRAILING_STOP,-12.664694148234412,28,88
SELL,RITES.NS,241.4148712158203,36,2025-08-10,,,,,,false,TRAILING_STOP,-11.21293431760625,28,88
SELL,TATAPOWER.NS,378.79998779296875,25,2025-08-10,,,4.9,4.9,2.5,false,TIME_STAGNANT,-4.548322548302708,28,88
SELL,LICHSGFIN.NS,560.7254028320312,16,2025-08-10,,,3.3,7.2,3.2,false,TREND_REVERSAL,-5.631368483701371,28,86
SELL,ITI.NS,303.6499938964844,31,2025-08-10,,,0.8,0,,false,TIME_STAGNANT,-3.7559448822553465,28,83
SELL,BIOCON.NS,343.3500061035156,26,2025-08-10,,,4.1,3.1,,false,TRAILING_STOP,-8.244255771549103,28,82
SELL,POLYCAB.NS,6741,1,2025-08-10,,,5.5,6.4,9,false,TIME_STAGNANT,0.5294161509208806,28,82
SELL,RAINBOW.NS,1468.5,6,2025-08-10,,,9.8,4,3,false,TIME_STAGNANT,-3.8436323368680303,28,81
BUY,HINDUNILVR.NS,2479.11181640625,3,2025-08-10,89,2479.11181640625,6.8,3.7,3.1,,,,,
BUY,HEROMOTOCO.NS,4599.7998046875,2,2025-08-10,89,4599.7998046875,8.7,7,7.8,,,,,
BUY,KIRLOSENG.NS,904.8499755859375,10,2025-08-10,88,904.8499755859375,3.2,7.3,8.9,,,,,
BUY,NIACL.NS,189.1126251220703,49,2025-08-10,87,189.1126251220703,,7.5,3.4,,,,,
BUY,DMART.NS,4170.10009765625,2,2025-08-10,87,4170.10009765625,3.1,4.1,4.5,,,,,
BUY,TATACHEM.NS,946.2999877929688,9,2025-08-10,87,946.2999877929688,5.2,3.4,0.5,,,,,
BUY,ESCORTS.NS,3351.699951171875,2,2025-08-10,86,3351.699951171875,3.9,4.8,4,,,,,
BUY,SARDAEN.NS,533.6107177734375,17,2025-08-10,84,533.6107177734375,10,8.8,10,,,,,
BUY,METROPOLIS.NS,2004.2481689453125,4,2025-08-10,81,2004.2481689453125,7.5,3.2,7.3,,,,,
BUY,VIJAYA.NS,1052.2806396484375,8,2025-08-10,78,1052.2806396484375,10,2.9,4.4,,,,,
SELL,BANDHANBNK.NS,173.22999572753906,57,2025-08-24,,,,6.2,1.5,false,TIME_STAGNANT,-0.4427931087280568,42,90
SELL,NHPC.NS,80.70999908447266,114,2025-08-24,,,5.4,6,5,false,TREND_REVERSAL,-7.783592262512363,42,87
SELL,SCI.NS,207.52688598632812,47,2025-08-24,,,,,,false,TIME_STAGNANT,-2.368499336416463,42,85
SELL,VIJAYA.NS,1019.0475463867188,8,2025-08-24,,,10,2.9,4.4,false,TREND_REVERSAL,-3.158196778458433,14,78
BUY,RCF.NS,157.46826171875,61,2025-08-24,90,157.46826171875,5.4,8.9,9,,,,,
BUY,CGCL.NS,187.76004028320312,51,2025-08-24,89,187.76004028320312,4.3,7.3,10,,,,,
BUY,BIKAJI.NS,769.1810913085938,12,2025-08-24,89,769.1810913085938,5.1,2.8,5.6,,,,,
BUY,ZYDUSLIFE.NS,988.7999877929688,9,2025-08-24,89,988.7999877929688,10,7.1,8.9,,,,,
BUY,CGPOWER.NS,679.8499755859375,14,2025-08-24,89,679.8499755859375,4.4,2.3,7.4,,,,,
SELL,SKFINDIA.NS,4878.10009765625,2,2025-09-07,,,7.1,6.1,5.1,false,TIME_STAGNANT,0.40548731492844325,56,89
SELL,CHENNPETRO.NS,702.4000244140625,14,2025-09-07,,,4.9,8.4,,false,TIME_STAGNANT,-1.6289939397503672,56,86
SELL,KIRLOSENG.NS,866.5,10,2025-09-07,,,3.2,7.3,8.9,false,TIME_STAGNANT,-4.238268952939284,28,88
SELL,TATACHEM.NS,933.4500122070312,9,2025-09-07,,,5.2,3.4,0.5,false,TIME_STAGNANT,-1.35791775881845,28,87
BUY,NESTLEIND.NS,1208.5,8,2025-09-07,90,1208.5,10,2.3,3.5,,,,,
BUY,DABUR.NS,543.8292236328125,17,2025-09-07,90,543.8292236328125,6.4,4,3.4,,,,,
BUY,JKTYRE.NS,348.1000061035156,28,2025-09-07,90,348.1000061035156,4,8.8,7.1,,,,,
